2017-04-02 17:06:36 startup archives unpack
2017-04-02 17:06:38 status installed initramfs-tools:all 0.103ubuntu4.7
2017-04-02 17:06:38 status triggers-pending initramfs-tools:all 0.103ubuntu4.7
2017-04-02 17:06:38 configure makedev:all 2.3.1-93ubuntu2~ubuntu14.04.1 <none>
2017-04-02 17:06:38 status unpacked makedev:all 2.3.1-93ubuntu2~ubuntu14.04.1
2017-04-02 17:06:38 status half-configured makedev:all 2.3.1-93ubuntu2~ubuntu14.04.1
2017-04-02 17:06:39 status installed makedev:all 2.3.1-93ubuntu2~ubuntu14.04.1
2017-04-02 17:06:39 trigproc initramfs-tools:all 0.103ubuntu4.7 <none>
2017-04-02 17:06:39 status half-configured initramfs-tools:all 0.103ubuntu4.7
2017-04-02 17:06:50 status installed initramfs-tools:all 0.103ubuntu4.7
2017-04-04 17:09:48 startup archives unpack
2017-04-04 17:09:48 install linux-image-3.13.0-116-generic:amd64 <none> 3.13.0-116.163
2017-04-04 17:09:48 status half-installed linux-image-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:09:52 status unpacked linux-image-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:09:52 status unpacked linux-image-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:09:52 upgrade landscape-common:amd64 14.12-0ubuntu0.14.04 14.12-0ubuntu5.14.04
2017-04-04 17:09:52 status half-configured landscape-common:amd64 14.12-0ubuntu0.14.04
2017-04-04 17:09:52 status unpacked landscape-common:amd64 14.12-0ubuntu0.14.04
2017-04-04 17:09:52 status half-installed landscape-common:amd64 14.12-0ubuntu0.14.04
2017-04-04 17:09:52 status triggers-pending man-db:amd64 2.6.7.1-1ubuntu1
2017-04-04 17:09:52 status half-installed landscape-common:amd64 14.12-0ubuntu0.14.04
2017-04-04 17:09:52 status unpacked landscape-common:amd64 14.12-0ubuntu5.14.04
2017-04-04 17:09:52 status unpacked landscape-common:amd64 14.12-0ubuntu5.14.04
2017-04-04 17:09:52 upgrade linux-cloud-tools-common:all 3.13.0-115.162 3.13.0-116.163
2017-04-04 17:09:52 status half-configured linux-cloud-tools-common:all 3.13.0-115.162
2017-04-04 17:09:52 status unpacked linux-cloud-tools-common:all 3.13.0-115.162
2017-04-04 17:09:52 status half-installed linux-cloud-tools-common:all 3.13.0-115.162
2017-04-04 17:09:52 status triggers-pending ureadahead:amd64 0.100.0-16
2017-04-04 17:09:52 status half-installed linux-cloud-tools-common:all 3.13.0-115.162
2017-04-04 17:09:52 status half-installed linux-cloud-tools-common:all 3.13.0-115.162
2017-04-04 17:09:52 status unpacked linux-cloud-tools-common:all 3.13.0-116.163
2017-04-04 17:09:52 status unpacked linux-cloud-tools-common:all 3.13.0-116.163
2017-04-04 17:09:52 install linux-cloud-tools-3.13.0-116:amd64 <none> 3.13.0-116.163
2017-04-04 17:09:52 status half-installed linux-cloud-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:09:52 status unpacked linux-cloud-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:09:52 status unpacked linux-cloud-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:09:52 install linux-cloud-tools-3.13.0-116-generic:amd64 <none> 3.13.0-116.163
2017-04-04 17:09:52 status half-installed linux-cloud-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:09:52 status unpacked linux-cloud-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:09:52 status unpacked linux-cloud-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:09:52 upgrade linux-cloud-tools-generic:amd64 3.13.0.115.125 3.13.0.116.126
2017-04-04 17:09:52 status half-configured linux-cloud-tools-generic:amd64 3.13.0.115.125
2017-04-04 17:09:52 status unpacked linux-cloud-tools-generic:amd64 3.13.0.115.125
2017-04-04 17:09:52 status half-installed linux-cloud-tools-generic:amd64 3.13.0.115.125
2017-04-04 17:09:52 status half-installed linux-cloud-tools-generic:amd64 3.13.0.115.125
2017-04-04 17:09:52 status unpacked linux-cloud-tools-generic:amd64 3.13.0.116.126
2017-04-04 17:09:52 status unpacked linux-cloud-tools-generic:amd64 3.13.0.116.126
2017-04-04 17:09:52 install linux-image-extra-3.13.0-116-generic:amd64 <none> 3.13.0-116.163
2017-04-04 17:09:52 status half-installed linux-image-extra-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:01 status unpacked linux-image-extra-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:01 status unpacked linux-image-extra-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:01 upgrade linux-generic:amd64 3.13.0.115.125 3.13.0.116.126
2017-04-04 17:10:01 status half-configured linux-generic:amd64 3.13.0.115.125
2017-04-04 17:10:01 status unpacked linux-generic:amd64 3.13.0.115.125
2017-04-04 17:10:01 status half-installed linux-generic:amd64 3.13.0.115.125
2017-04-04 17:10:01 status half-installed linux-generic:amd64 3.13.0.115.125
2017-04-04 17:10:01 status unpacked linux-generic:amd64 3.13.0.116.126
2017-04-04 17:10:01 status unpacked linux-generic:amd64 3.13.0.116.126
2017-04-04 17:10:01 upgrade linux-image-generic:amd64 3.13.0.115.125 3.13.0.116.126
2017-04-04 17:10:01 status half-configured linux-image-generic:amd64 3.13.0.115.125
2017-04-04 17:10:01 status unpacked linux-image-generic:amd64 3.13.0.115.125
2017-04-04 17:10:01 status half-installed linux-image-generic:amd64 3.13.0.115.125
2017-04-04 17:10:01 status half-installed linux-image-generic:amd64 3.13.0.115.125
2017-04-04 17:10:01 status unpacked linux-image-generic:amd64 3.13.0.116.126
2017-04-04 17:10:01 status unpacked linux-image-generic:amd64 3.13.0.116.126
2017-04-04 17:10:01 install linux-headers-3.13.0-116:all <none> 3.13.0-116.163
2017-04-04 17:10:01 status half-installed linux-headers-3.13.0-116:all 3.13.0-116.163
2017-04-04 17:10:05 status unpacked linux-headers-3.13.0-116:all 3.13.0-116.163
2017-04-04 17:10:05 status unpacked linux-headers-3.13.0-116:all 3.13.0-116.163
2017-04-04 17:10:05 install linux-headers-3.13.0-116-generic:amd64 <none> 3.13.0-116.163
2017-04-04 17:10:05 status half-installed linux-headers-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:06 status unpacked linux-headers-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:06 status unpacked linux-headers-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:06 upgrade linux-headers-generic:amd64 3.13.0.115.125 3.13.0.116.126
2017-04-04 17:10:06 status half-configured linux-headers-generic:amd64 3.13.0.115.125
2017-04-04 17:10:07 status unpacked linux-headers-generic:amd64 3.13.0.115.125
2017-04-04 17:10:07 status half-installed linux-headers-generic:amd64 3.13.0.115.125
2017-04-04 17:10:07 status half-installed linux-headers-generic:amd64 3.13.0.115.125
2017-04-04 17:10:07 status unpacked linux-headers-generic:amd64 3.13.0.116.126
2017-04-04 17:10:07 status unpacked linux-headers-generic:amd64 3.13.0.116.126
2017-04-04 17:10:07 upgrade linux-libc-dev:amd64 3.13.0-115.162 3.13.0-116.163
2017-04-04 17:10:07 status half-configured linux-libc-dev:amd64 3.13.0-115.162
2017-04-04 17:10:07 status unpacked linux-libc-dev:amd64 3.13.0-115.162
2017-04-04 17:10:07 status half-installed linux-libc-dev:amd64 3.13.0-115.162
2017-04-04 17:10:07 status half-installed linux-libc-dev:amd64 3.13.0-115.162
2017-04-04 17:10:07 status unpacked linux-libc-dev:amd64 3.13.0-116.163
2017-04-04 17:10:07 status unpacked linux-libc-dev:amd64 3.13.0-116.163
2017-04-04 17:10:07 upgrade linux-tools-common:all 3.13.0-115.162 3.13.0-116.163
2017-04-04 17:10:07 status half-configured linux-tools-common:all 3.13.0-115.162
2017-04-04 17:10:07 status unpacked linux-tools-common:all 3.13.0-115.162
2017-04-04 17:10:07 status half-installed linux-tools-common:all 3.13.0-115.162
2017-04-04 17:10:07 status half-installed linux-tools-common:all 3.13.0-115.162
2017-04-04 17:10:07 status unpacked linux-tools-common:all 3.13.0-116.163
2017-04-04 17:10:07 status unpacked linux-tools-common:all 3.13.0-116.163
2017-04-04 17:10:07 install linux-tools-3.13.0-116:amd64 <none> 3.13.0-116.163
2017-04-04 17:10:07 status half-installed linux-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:10:07 status unpacked linux-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:10:07 status unpacked linux-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:10:07 install linux-tools-3.13.0-116-generic:amd64 <none> 3.13.0-116.163
2017-04-04 17:10:07 status half-installed linux-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:07 status unpacked linux-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:07 status unpacked linux-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:07 upgrade linux-tools-generic:amd64 3.13.0.115.125 3.13.0.116.126
2017-04-04 17:10:07 status half-configured linux-tools-generic:amd64 3.13.0.115.125
2017-04-04 17:10:07 status unpacked linux-tools-generic:amd64 3.13.0.115.125
2017-04-04 17:10:07 status half-installed linux-tools-generic:amd64 3.13.0.115.125
2017-04-04 17:10:07 status half-installed linux-tools-generic:amd64 3.13.0.115.125
2017-04-04 17:10:07 status unpacked linux-tools-generic:amd64 3.13.0.116.126
2017-04-04 17:10:07 status unpacked linux-tools-generic:amd64 3.13.0.116.126
2017-04-04 17:10:07 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2017-04-04 17:10:07 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2017-04-04 17:10:08 status installed man-db:amd64 2.6.7.1-1ubuntu1
2017-04-04 17:10:08 trigproc ureadahead:amd64 0.100.0-16 0.100.0-16
2017-04-04 17:10:08 status half-configured ureadahead:amd64 0.100.0-16
2017-04-04 17:10:08 status installed ureadahead:amd64 0.100.0-16
2017-04-04 17:10:08 startup packages configure
2017-04-04 17:10:08 configure linux-image-3.13.0-116-generic:amd64 3.13.0-116.163 <none>
2017-04-04 17:10:08 status unpacked linux-image-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:08 status half-configured linux-image-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:21 status installed linux-image-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:21 configure landscape-common:amd64 14.12-0ubuntu5.14.04 <none>
2017-04-04 17:10:21 status unpacked landscape-common:amd64 14.12-0ubuntu5.14.04
2017-04-04 17:10:21 status half-configured landscape-common:amd64 14.12-0ubuntu5.14.04
2017-04-04 17:10:21 status installed landscape-common:amd64 14.12-0ubuntu5.14.04
2017-04-04 17:10:21 configure linux-cloud-tools-common:all 3.13.0-116.163 <none>
2017-04-04 17:10:21 status unpacked linux-cloud-tools-common:all 3.13.0-116.163
2017-04-04 17:10:21 status unpacked linux-cloud-tools-common:all 3.13.0-116.163
2017-04-04 17:10:21 status unpacked linux-cloud-tools-common:all 3.13.0-116.163
2017-04-04 17:10:21 status unpacked linux-cloud-tools-common:all 3.13.0-116.163
2017-04-04 17:10:21 status half-configured linux-cloud-tools-common:all 3.13.0-116.163
2017-04-04 17:10:22 status installed linux-cloud-tools-common:all 3.13.0-116.163
2017-04-04 17:10:22 configure linux-cloud-tools-3.13.0-116:amd64 3.13.0-116.163 <none>
2017-04-04 17:10:22 status unpacked linux-cloud-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:10:22 status half-configured linux-cloud-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:10:22 status installed linux-cloud-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:10:22 configure linux-cloud-tools-3.13.0-116-generic:amd64 3.13.0-116.163 <none>
2017-04-04 17:10:22 status unpacked linux-cloud-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:22 status half-configured linux-cloud-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:22 status installed linux-cloud-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:22 configure linux-cloud-tools-generic:amd64 3.13.0.116.126 <none>
2017-04-04 17:10:22 status unpacked linux-cloud-tools-generic:amd64 3.13.0.116.126
2017-04-04 17:10:22 status half-configured linux-cloud-tools-generic:amd64 3.13.0.116.126
2017-04-04 17:10:22 status installed linux-cloud-tools-generic:amd64 3.13.0.116.126
2017-04-04 17:10:22 configure linux-image-extra-3.13.0-116-generic:amd64 3.13.0-116.163 <none>
2017-04-04 17:10:22 status unpacked linux-image-extra-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:22 status half-configured linux-image-extra-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:34 status installed linux-image-extra-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:34 configure linux-image-generic:amd64 3.13.0.116.126 <none>
2017-04-04 17:10:34 status unpacked linux-image-generic:amd64 3.13.0.116.126
2017-04-04 17:10:34 status half-configured linux-image-generic:amd64 3.13.0.116.126
2017-04-04 17:10:34 status installed linux-image-generic:amd64 3.13.0.116.126
2017-04-04 17:10:34 configure linux-headers-3.13.0-116:all 3.13.0-116.163 <none>
2017-04-04 17:10:34 status unpacked linux-headers-3.13.0-116:all 3.13.0-116.163
2017-04-04 17:10:34 status half-configured linux-headers-3.13.0-116:all 3.13.0-116.163
2017-04-04 17:10:34 status installed linux-headers-3.13.0-116:all 3.13.0-116.163
2017-04-04 17:10:34 configure linux-headers-3.13.0-116-generic:amd64 3.13.0-116.163 <none>
2017-04-04 17:10:34 status unpacked linux-headers-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:34 status half-configured linux-headers-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:34 status installed linux-headers-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:34 configure linux-headers-generic:amd64 3.13.0.116.126 <none>
2017-04-04 17:10:34 status unpacked linux-headers-generic:amd64 3.13.0.116.126
2017-04-04 17:10:34 status half-configured linux-headers-generic:amd64 3.13.0.116.126
2017-04-04 17:10:34 status installed linux-headers-generic:amd64 3.13.0.116.126
2017-04-04 17:10:34 configure linux-generic:amd64 3.13.0.116.126 <none>
2017-04-04 17:10:34 status unpacked linux-generic:amd64 3.13.0.116.126
2017-04-04 17:10:34 status half-configured linux-generic:amd64 3.13.0.116.126
2017-04-04 17:10:34 status installed linux-generic:amd64 3.13.0.116.126
2017-04-04 17:10:34 configure linux-libc-dev:amd64 3.13.0-116.163 <none>
2017-04-04 17:10:34 status unpacked linux-libc-dev:amd64 3.13.0-116.163
2017-04-04 17:10:34 status half-configured linux-libc-dev:amd64 3.13.0-116.163
2017-04-04 17:10:34 status installed linux-libc-dev:amd64 3.13.0-116.163
2017-04-04 17:10:34 configure linux-tools-common:all 3.13.0-116.163 <none>
2017-04-04 17:10:34 status unpacked linux-tools-common:all 3.13.0-116.163
2017-04-04 17:10:34 status half-configured linux-tools-common:all 3.13.0-116.163
2017-04-04 17:10:34 status installed linux-tools-common:all 3.13.0-116.163
2017-04-04 17:10:34 configure linux-tools-3.13.0-116:amd64 3.13.0-116.163 <none>
2017-04-04 17:10:34 status unpacked linux-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:10:34 status half-configured linux-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:10:34 status installed linux-tools-3.13.0-116:amd64 3.13.0-116.163
2017-04-04 17:10:34 configure linux-tools-3.13.0-116-generic:amd64 3.13.0-116.163 <none>
2017-04-04 17:10:34 status unpacked linux-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:34 status half-configured linux-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:34 status installed linux-tools-3.13.0-116-generic:amd64 3.13.0-116.163
2017-04-04 17:10:34 configure linux-tools-generic:amd64 3.13.0.116.126 <none>
2017-04-04 17:10:34 status unpacked linux-tools-generic:amd64 3.13.0.116.126
2017-04-04 17:10:34 status half-configured linux-tools-generic:amd64 3.13.0.116.126
2017-04-04 17:10:34 status installed linux-tools-generic:amd64 3.13.0.116.126
2017-04-04 17:55:09 startup packages remove
2017-04-04 17:55:09 status installed linux-cloud-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:09 remove linux-cloud-tools-3.13.0-115-generic:amd64 3.13.0-115.162 <none>
2017-04-04 17:55:09 status half-configured linux-cloud-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:09 status half-installed linux-cloud-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:09 status config-files linux-cloud-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:09 status config-files linux-cloud-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:09 status config-files linux-cloud-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:09 status not-installed linux-cloud-tools-3.13.0-115-generic:amd64 <none>
2017-04-04 17:55:09 status installed linux-cloud-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:09 remove linux-cloud-tools-3.13.0-115:amd64 3.13.0-115.162 <none>
2017-04-04 17:55:09 status half-configured linux-cloud-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:09 status half-installed linux-cloud-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:09 status config-files linux-cloud-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:09 status config-files linux-cloud-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:09 status config-files linux-cloud-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:09 status not-installed linux-cloud-tools-3.13.0-115:amd64 <none>
2017-04-04 17:55:09 status installed linux-headers-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:10 remove linux-headers-3.13.0-115-generic:amd64 3.13.0-115.162 <none>
2017-04-04 17:55:10 status half-configured linux-headers-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:10 status half-installed linux-headers-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:11 status config-files linux-headers-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:11 status config-files linux-headers-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:11 status config-files linux-headers-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:11 status not-installed linux-headers-3.13.0-115-generic:amd64 <none>
2017-04-04 17:55:11 status installed linux-headers-3.13.0-115:all 3.13.0-115.162
2017-04-04 17:55:11 remove linux-headers-3.13.0-115:all 3.13.0-115.162 <none>
2017-04-04 17:55:11 status half-configured linux-headers-3.13.0-115:all 3.13.0-115.162
2017-04-04 17:55:11 status half-installed linux-headers-3.13.0-115:all 3.13.0-115.162
2017-04-04 17:55:12 status config-files linux-headers-3.13.0-115:all 3.13.0-115.162
2017-04-04 17:55:12 status config-files linux-headers-3.13.0-115:all 3.13.0-115.162
2017-04-04 17:55:12 status config-files linux-headers-3.13.0-115:all 3.13.0-115.162
2017-04-04 17:55:12 status not-installed linux-headers-3.13.0-115:all <none>
2017-04-04 17:55:12 status installed linux-image-extra-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:12 remove linux-image-extra-3.13.0-115-generic:amd64 3.13.0-115.162 <none>
2017-04-04 17:55:12 status half-configured linux-image-extra-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:12 status half-installed linux-image-extra-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:18 status config-files linux-image-extra-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:18 status config-files linux-image-extra-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:18 status installed linux-image-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:18 remove linux-image-3.13.0-115-generic:amd64 3.13.0-115.162 <none>
2017-04-04 17:55:18 status half-configured linux-image-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:18 status half-installed linux-image-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:18 status config-files linux-image-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:18 status config-files linux-image-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:19 status installed linux-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:19 remove linux-tools-3.13.0-115-generic:amd64 3.13.0-115.162 <none>
2017-04-04 17:55:19 status half-configured linux-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:19 status half-installed linux-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:19 status config-files linux-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:19 status config-files linux-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:19 status config-files linux-tools-3.13.0-115-generic:amd64 3.13.0-115.162
2017-04-04 17:55:19 status not-installed linux-tools-3.13.0-115-generic:amd64 <none>
2017-04-04 17:55:19 status installed linux-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:19 remove linux-tools-3.13.0-115:amd64 3.13.0-115.162 <none>
2017-04-04 17:55:19 status half-configured linux-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:19 status half-installed linux-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:19 status config-files linux-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:19 status config-files linux-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:19 status config-files linux-tools-3.13.0-115:amd64 3.13.0-115.162
2017-04-04 17:55:19 status not-installed linux-tools-3.13.0-115:amd64 <none>
2017-04-06 01:01:11 startup archives unpack
2017-04-06 01:01:11 upgrade update-manager-core:all 1:0.196.22 1:0.196.23
2017-04-06 01:01:11 status half-configured update-manager-core:all 1:0.196.22
2017-04-06 01:01:11 status unpacked update-manager-core:all 1:0.196.22
2017-04-06 01:01:11 status half-installed update-manager-core:all 1:0.196.22
2017-04-06 01:01:11 status half-installed update-manager-core:all 1:0.196.22
2017-04-06 01:01:11 status unpacked update-manager-core:all 1:0.196.23
2017-04-06 01:01:11 status unpacked update-manager-core:all 1:0.196.23
2017-04-06 01:01:11 upgrade python3-update-manager:all 1:0.196.22 1:0.196.23
2017-04-06 01:01:11 status half-configured python3-update-manager:all 1:0.196.22
2017-04-06 01:01:12 status unpacked python3-update-manager:all 1:0.196.22
