2016-10-10 14:57:10 startup archives unpack
2016-10-10 14:57:23 status unpacked linux-generic:amd64 3.13.0.98.106
2016-10-10 14:57:23 status unpacked linux-generic:amd64 3.13.0.98.106
2016-10-10 14:57:23 upgrade linux-image-generic:amd64 3.13.0.96.104 3.13.0.98.106
2016-10-10 14:57:23 status half-configured linux-image-generic:amd64 3.13.0.96.104
2016-10-10 14:57:23 status unpacked linux-image-generic:amd64 3.13.0.96.104
2016-10-10 14:57:23 status half-installed linux-image-generic:amd64 3.13.0.96.104
2016-10-10 14:57:23 status half-installed linux-image-generic:amd64 3.13.0.96.104
2016-10-10 14:57:23 status unpacked linux-image-generic:amd64 3.13.0.98.106
2016-10-10 14:57:23 status unpacked linux-image-generic:amd64 3.13.0.98.106
2016-10-10 14:57:23 install linux-headers-3.13.0-98:all <none> 3.13.0-98.145
2016-10-10 14:57:23 status half-installed linux-headers-3.13.0-98:all 3.13.0-98.145
2016-10-10 14:57:27 status unpacked linux-headers-3.13.0-98:all 3.13.0-98.145
2016-10-10 14:57:27 status unpacked linux-headers-3.13.0-98:all 3.13.0-98.145
2016-10-10 14:57:27 install linux-headers-3.13.0-98-generic:amd64 <none> 3.13.0-98.145
2016-10-10 14:57:27 status half-installed linux-headers-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:28 status unpacked linux-headers-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:28 status unpacked linux-headers-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:28 upgrade linux-headers-generic:amd64 3.13.0.96.104 3.13.0.98.106
2016-10-10 14:57:28 status half-configured linux-headers-generic:amd64 3.13.0.96.104
2016-10-10 14:57:28 status unpacked linux-headers-generic:amd64 3.13.0.96.104
2016-10-10 14:57:28 status half-installed linux-headers-generic:amd64 3.13.0.96.104
2016-10-10 14:57:28 status half-installed linux-headers-generic:amd64 3.13.0.96.104
2016-10-10 14:57:28 status unpacked linux-headers-generic:amd64 3.13.0.98.106
2016-10-10 14:57:28 status unpacked linux-headers-generic:amd64 3.13.0.98.106
2016-10-10 14:57:28 upgrade linux-libc-dev:amd64 3.13.0-96.143 3.13.0-98.145
2016-10-10 14:57:28 status half-configured linux-libc-dev:amd64 3.13.0-96.143
2016-10-10 14:57:28 status unpacked linux-libc-dev:amd64 3.13.0-96.143
2016-10-10 14:57:28 status half-installed linux-libc-dev:amd64 3.13.0-96.143
2016-10-10 14:57:28 status half-installed linux-libc-dev:amd64 3.13.0-96.143
2016-10-10 14:57:28 status unpacked linux-libc-dev:amd64 3.13.0-98.145
2016-10-10 14:57:28 status unpacked linux-libc-dev:amd64 3.13.0-98.145
2016-10-10 14:57:28 upgrade linux-tools-common:all 3.13.0-96.143 3.13.0-98.145
2016-10-10 14:57:28 status half-configured linux-tools-common:all 3.13.0-96.143
2016-10-10 14:57:28 status unpacked linux-tools-common:all 3.13.0-96.143
2016-10-10 14:57:28 status half-installed linux-tools-common:all 3.13.0-96.143
2016-10-10 14:57:28 status half-installed linux-tools-common:all 3.13.0-96.143
2016-10-10 14:57:28 status unpacked linux-tools-common:all 3.13.0-98.145
2016-10-10 14:57:28 status unpacked linux-tools-common:all 3.13.0-98.145
2016-10-10 14:57:28 install linux-tools-3.13.0-98:amd64 <none> 3.13.0-98.145
2016-10-10 14:57:28 status half-installed linux-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:28 status unpacked linux-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:28 status unpacked linux-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:29 install linux-tools-3.13.0-98-generic:amd64 <none> 3.13.0-98.145
2016-10-10 14:57:29 status half-installed linux-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:29 status unpacked linux-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:29 status unpacked linux-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:29 upgrade linux-tools-generic:amd64 3.13.0.96.104 3.13.0.98.106
2016-10-10 14:57:29 status half-configured linux-tools-generic:amd64 3.13.0.96.104
2016-10-10 14:57:29 status unpacked linux-tools-generic:amd64 3.13.0.96.104
2016-10-10 14:57:29 status half-installed linux-tools-generic:amd64 3.13.0.96.104
2016-10-10 14:57:29 status half-installed linux-tools-generic:amd64 3.13.0.96.104
2016-10-10 14:57:29 status unpacked linux-tools-generic:amd64 3.13.0.98.106
2016-10-10 14:57:29 status unpacked linux-tools-generic:amd64 3.13.0.98.106
2016-10-10 14:57:29 trigproc man-db:amd64 2.6.7.1-1ubuntu1 2.6.7.1-1ubuntu1
2016-10-10 14:57:29 status half-configured man-db:amd64 2.6.7.1-1ubuntu1
2016-10-10 14:57:29 status installed man-db:amd64 2.6.7.1-1ubuntu1
2016-10-10 14:57:29 trigproc ureadahead:amd64 0.100.0-16 0.100.0-16
2016-10-10 14:57:29 status half-configured ureadahead:amd64 0.100.0-16
2016-10-10 14:57:29 status installed ureadahead:amd64 0.100.0-16
2016-10-10 14:57:29 startup packages configure
2016-10-10 14:57:29 configure linux-image-3.13.0-98-generic:amd64 3.13.0-98.145 <none>
2016-10-10 14:57:29 status unpacked linux-image-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:29 status half-configured linux-image-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:42 status installed linux-image-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:42 configure linux-cloud-tools-common:all 3.13.0-98.145 <none>
2016-10-10 14:57:42 status unpacked linux-cloud-tools-common:all 3.13.0-98.145
2016-10-10 14:57:42 status unpacked linux-cloud-tools-common:all 3.13.0-98.145
2016-10-10 14:57:42 status unpacked linux-cloud-tools-common:all 3.13.0-98.145
2016-10-10 14:57:42 status unpacked linux-cloud-tools-common:all 3.13.0-98.145
2016-10-10 14:57:42 status half-configured linux-cloud-tools-common:all 3.13.0-98.145
2016-10-10 14:57:42 status installed linux-cloud-tools-common:all 3.13.0-98.145
2016-10-10 14:57:42 configure linux-cloud-tools-3.13.0-98:amd64 3.13.0-98.145 <none>
2016-10-10 14:57:42 status unpacked linux-cloud-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:42 status half-configured linux-cloud-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:42 status installed linux-cloud-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:42 configure linux-cloud-tools-3.13.0-98-generic:amd64 3.13.0-98.145 <none>
2016-10-10 14:57:42 status unpacked linux-cloud-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:42 status half-configured linux-cloud-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:42 status installed linux-cloud-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:42 configure linux-cloud-tools-generic:amd64 3.13.0.98.106 <none>
2016-10-10 14:57:42 status unpacked linux-cloud-tools-generic:amd64 3.13.0.98.106
2016-10-10 14:57:42 status half-configured linux-cloud-tools-generic:amd64 3.13.0.98.106
2016-10-10 14:57:42 status installed linux-cloud-tools-generic:amd64 3.13.0.98.106
2016-10-10 14:57:42 configure linux-image-extra-3.13.0-98-generic:amd64 3.13.0-98.145 <none>
2016-10-10 14:57:42 status unpacked linux-image-extra-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:42 status half-configured linux-image-extra-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:53 status installed linux-image-extra-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:53 configure linux-image-generic:amd64 3.13.0.98.106 <none>
2016-10-10 14:57:53 status unpacked linux-image-generic:amd64 3.13.0.98.106
2016-10-10 14:57:53 status half-configured linux-image-generic:amd64 3.13.0.98.106
2016-10-10 14:57:53 status installed linux-image-generic:amd64 3.13.0.98.106
2016-10-10 14:57:53 configure linux-headers-3.13.0-98:all 3.13.0-98.145 <none>
2016-10-10 14:57:53 status unpacked linux-headers-3.13.0-98:all 3.13.0-98.145
2016-10-10 14:57:53 status half-configured linux-headers-3.13.0-98:all 3.13.0-98.145
2016-10-10 14:57:53 status installed linux-headers-3.13.0-98:all 3.13.0-98.145
2016-10-10 14:57:53 configure linux-headers-3.13.0-98-generic:amd64 3.13.0-98.145 <none>
2016-10-10 14:57:53 status unpacked linux-headers-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:53 status half-configured linux-headers-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:53 status installed linux-headers-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:53 configure linux-headers-generic:amd64 3.13.0.98.106 <none>
2016-10-10 14:57:53 status unpacked linux-headers-generic:amd64 3.13.0.98.106
2016-10-10 14:57:53 status half-configured linux-headers-generic:amd64 3.13.0.98.106
2016-10-10 14:57:53 status installed linux-headers-generic:amd64 3.13.0.98.106
2016-10-10 14:57:53 configure linux-generic:amd64 3.13.0.98.106 <none>
2016-10-10 14:57:53 status unpacked linux-generic:amd64 3.13.0.98.106
2016-10-10 14:57:53 status half-configured linux-generic:amd64 3.13.0.98.106
2016-10-10 14:57:53 status installed linux-generic:amd64 3.13.0.98.106
2016-10-10 14:57:53 configure linux-libc-dev:amd64 3.13.0-98.145 <none>
2016-10-10 14:57:53 status unpacked linux-libc-dev:amd64 3.13.0-98.145
2016-10-10 14:57:53 status half-configured linux-libc-dev:amd64 3.13.0-98.145
2016-10-10 14:57:53 status installed linux-libc-dev:amd64 3.13.0-98.145
2016-10-10 14:57:53 configure linux-tools-common:all 3.13.0-98.145 <none>
2016-10-10 14:57:53 status unpacked linux-tools-common:all 3.13.0-98.145
2016-10-10 14:57:53 status half-configured linux-tools-common:all 3.13.0-98.145
2016-10-10 14:57:53 status installed linux-tools-common:all 3.13.0-98.145
2016-10-10 14:57:53 configure linux-tools-3.13.0-98:amd64 3.13.0-98.145 <none>
2016-10-10 14:57:53 status unpacked linux-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:53 status half-configured linux-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:53 status installed linux-tools-3.13.0-98:amd64 3.13.0-98.145
2016-10-10 14:57:53 configure linux-tools-3.13.0-98-generic:amd64 3.13.0-98.145 <none>
2016-10-10 14:57:53 status unpacked linux-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:53 status half-configured linux-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:53 status installed linux-tools-3.13.0-98-generic:amd64 3.13.0-98.145
2016-10-10 14:57:53 configure linux-tools-generic:amd64 3.13.0.98.106 <none>
2016-10-10 14:57:53 status unpacked linux-tools-generic:amd64 3.13.0.98.106
2016-10-10 14:57:53 status half-configured linux-tools-generic:amd64 3.13.0.98.106
2016-10-10 14:57:53 status installed linux-tools-generic:amd64 3.13.0.98.106
2016-10-10 14:57:56 startup packages remove
2016-10-10 14:57:56 status installed linux-cloud-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:57 remove linux-cloud-tools-3.13.0-96-generic:amd64 3.13.0-96.143 <none>
2016-10-10 14:57:57 status half-configured linux-cloud-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:57 status half-installed linux-cloud-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:57 status config-files linux-cloud-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:57 status config-files linux-cloud-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:57 status config-files linux-cloud-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:57 status not-installed linux-cloud-tools-3.13.0-96-generic:amd64 <none>
2016-10-10 14:57:57 status installed linux-cloud-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:57:57 remove linux-cloud-tools-3.13.0-96:amd64 3.13.0-96.143 <none>
2016-10-10 14:57:57 status half-configured linux-cloud-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:57:57 status half-installed linux-cloud-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:57:57 status config-files linux-cloud-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:57:57 status config-files linux-cloud-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:57:57 status config-files linux-cloud-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:57:57 status not-installed linux-cloud-tools-3.13.0-96:amd64 <none>
2016-10-10 14:57:57 status installed linux-headers-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:57 remove linux-headers-3.13.0-96-generic:amd64 3.13.0-96.143 <none>
2016-10-10 14:57:57 status half-configured linux-headers-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:57 status half-installed linux-headers-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:58 status config-files linux-headers-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:58 status config-files linux-headers-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:58 status config-files linux-headers-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:58 status not-installed linux-headers-3.13.0-96-generic:amd64 <none>
2016-10-10 14:57:58 status installed linux-headers-3.13.0-96:all 3.13.0-96.143
2016-10-10 14:57:58 remove linux-headers-3.13.0-96:all 3.13.0-96.143 <none>
2016-10-10 14:57:58 status half-configured linux-headers-3.13.0-96:all 3.13.0-96.143
2016-10-10 14:57:58 status half-installed linux-headers-3.13.0-96:all 3.13.0-96.143
2016-10-10 14:57:59 status config-files linux-headers-3.13.0-96:all 3.13.0-96.143
2016-10-10 14:57:59 status config-files linux-headers-3.13.0-96:all 3.13.0-96.143
2016-10-10 14:57:59 status config-files linux-headers-3.13.0-96:all 3.13.0-96.143
2016-10-10 14:57:59 status not-installed linux-headers-3.13.0-96:all <none>
2016-10-10 14:57:59 status installed linux-image-extra-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:59 remove linux-image-extra-3.13.0-96-generic:amd64 3.13.0-96.143 <none>
2016-10-10 14:57:59 status half-configured linux-image-extra-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:57:59 status half-installed linux-image-extra-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:04 status config-files linux-image-extra-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:04 status config-files linux-image-extra-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:04 status installed linux-image-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:05 remove linux-image-3.13.0-96-generic:amd64 3.13.0-96.143 <none>
2016-10-10 14:58:05 status half-configured linux-image-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:05 status half-installed linux-image-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:05 status config-files linux-image-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:05 status config-files linux-image-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:05 status installed linux-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:05 remove linux-tools-3.13.0-96-generic:amd64 3.13.0-96.143 <none>
2016-10-10 14:58:05 status half-configured linux-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:05 status half-installed linux-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:05 status config-files linux-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:05 status config-files linux-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:05 status config-files linux-tools-3.13.0-96-generic:amd64 3.13.0-96.143
2016-10-10 14:58:05 status not-installed linux-tools-3.13.0-96-generic:amd64 <none>
2016-10-10 14:58:05 status installed linux-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:58:05 remove linux-tools-3.13.0-96:amd64 3.13.0-96.143 <none>
2016-10-10 14:58:05 status half-configured linux-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:58:05 status half-installed linux-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:58:05 status config-files linux-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:58:05 status config-files linux-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:58:05 status config-files linux-tools-3.13.0-96:amd64 3.13.0-96.143
2016-10-10 14:58:05 status not-installed linux-tools-3.13.0-96:amd64 <none>
